r,s,z,r_bits
3562267332602855045600417635182895063549454560130683594913,4255378315003812673313321497017374074454921632102922445802,4673163039146334964909253469183052983713657536759611415360,192
4959599389982528454393107384528842382324633492505670853722,3425996015979750644464619987683518317603166867111369677756,1027642133010495097024697695165486724318412398115951369552,192
1115234427809350718110716901986403014356867165882957241444,1824364151374672739012371333038032405051922657306804270075,582949398614516056170464586971534709953114695450822177660,190
3270056764953227841225164595119886049718453391235706020202,1584308059504998981959544098748370072190422164014254058925,1356762835708389764291872036134171146417473985663200835539,192
1833703973949171449305735675084517699671534795036857447673,5726325500089551179906530772208475192260066505551812342206,1951359952945631348450781390236483743311656697932071601677,191
1187161591596344265688255698449338952187567972716757903402,1727765565411444607354102850477912901791307158709609935301,3253664015804623609486357508942502517433540355378916306129,190
3163026467895960398025173537381678359325754319866990013289,1651933772239104604673137724295571099871986572399420302589,4958053797810022009941321802484435800754481810104516777318,192
984936107358028282651095252967586405394744275054705307544,5126017942855337381985025516587166910987473230351806453597,1960733053216481764490550345673684515641627158599527982782,190
303901690961632886772798566248922202002493883392616512958,3768875843445230996417518628983922114116284235212580422829,5837297295410902304642526341764061342725126056112993707421,188
734359181623263291170272220792881289012743144016782419113,3655924218340420654802682578399415402012693810627488957860,3771952197768144412022003277749618275296264189879385333835,189
362376606485966149205397652373428860911031084397522158398,3203913087118993205487144394235713947256623612713022503691,4902193248968469215689806996733894836896232164885382951608,188
1366813004762911943354850405606563254068150639541539113250,6218046077272984845821257822419702757009273020947492394249,3281256556143304049272886957933030282861570634887634586169,190
1099263607737768406483415282786140918815729916628924991159,5919348137325601548004221789096253221738232085219517027013,4151974153273645226511976933224279753746391473956816427649,190
4484994135641515540870169522503584164819972386734732890597,3293605967005213244790036631321810556425562132317690080443,1555084693692325017845861666002087724810702843337956129838,192
4753323781450675114529557737444974946305940920591415501268,4167527614870618195046902557472135007809896063078575931877,1398818806299751491501550296500574255890602441224269679660,192
3869960979400263712854405617487547256415430183896011288204,804808841379193428697450043359219763206087097091509285314,2521356993013359665647246736513382288446424799787914818712,192
3611152679260415548463536255756356096336684853064217736320,3466421609862999221700477352139408707616198676548937997596,931132021943439731074364521668370611061681274119374872064,192
5378677402863663520270086072908772353456338648587220496829,4652761720621628468556129602824064251557167475731832345834,210363843266783026283031777882519724639435659119814348289,192
2199827605135883860005729417466286622668191012158152694580,325448133568034823413335535513644031569791817512543087645,4759590199922509985564650088936582498456176945826685623812,191
2018699191313122273398881260005786607042446281322486814928,3002374763079755937539860046376608792683271787476145045166,3360354539800971074171333116993348189399186872603253900060,191
2663118062449011546680652721085466841514959780017111657592,2004927901135545637785170154373180576562783586097988878842,3480231610330876005337959740669178724939428627165660047529,191
4207838628124366079122654278964951905429585756546567123706,4855909895884751583848474994194581489704837137505880170635,1084165213814618227988176086545439327333744846087141029112,192
5234960363928032968799025150267907447825939748179988426981,1149991503959244815282737720253070644088446709505826758003,1563133970628754113259979031126543469065341337221979956459,192
933134116072612120081391178376699016252714820463514822587,74560531591605000373079625406529443944307656158183862465,4544585971830149864841365665585698079125619211426540173617,190
