r,s,z,r_bits
1472051518561558383566220186583862760610747611527671530695,463671461143900204251860782324819059822238219455052058726,2078362837054547572573044415356847437866526509874999535561,190
5718356718107131059915406214776516219946572418914924771505,5691129949482878522208783806628860231054649086023098440844,1699147025287816804871613259470665473118764174404387265638,192
361955456274726412463078733792158245959052806322196580300,323822728655792275190421486823863791405946890724982851087,3723467032700391616705387254827094181455620986762971881799,188
4497865765937422245308092985746511165440638167679814889560,4095512419094334137107515577302868107617965772196604625238,460064443945052502657171369186623632706950610514170543732,192
5914017763382154879648650283072343727567598204272111723628,5809112555894230839190591776595573361603968198045396609560,1881841225290643097569305151319776939113065236544611815067,192
5679463924439980411203691376808113588459559798358681022514,3697018208172449164010269475051932224279994194730629572359,2944391618642113927024603530362945037552291400411023674054,192
2541526037700675351974429896068763075131347472109385338437,6217099724360309709019981607853426713413388201109204441513,3908267006551015989415866469174535321310490308838455386100,191
3514965776052657645105966029737035366800425472690572025611,4391508958704090445843968633000543894979307377264161159157,5349325210053177227713281806783820716371072776192902747882,192
5783317484452007943499240674855198766941859492065677831139,2804433821204391053309648426002450638297953048799699280757,4673292704022024436591281433185533088858085218931333337647,192
2448451952903339515443489780579220626536133199532405260485,6077704625096685322885116016094455744506616456016003352112,2043090332867607919118530357130972543840656415323660037024,191
5901291463294027277617376577544449151145217504971921988901,5283321821753317785908840777462612888110504997243005701295,5251593766323593507546847545448515736288400952770029325187,192
1461699203268242581233314921969320723236045292279220328979,3130634304771495607030055555170845384823609952832210947816,2696141479697197827825395432886809026477366071272982528097,190
1403722123090229919273313876694086917065399107574005182232,3321817030884157662345385140104007265164924151275286447367,6190524613099659517339239366056897690376330056857554432509,190
3190247410091064725993969536369864805081333075479935560584,778492944538469284818138989844753055050501852759236266349,210173327883445792975339000628329835837330592846559923290,192
2857290525952526902529069734362401727229892805627138005416,1467826917443023839389646976565385242871276603914784887821,294356504340833352531467831046390023361013684021700062174,191
1951426975522308404707316397464740859880885533721725384153,2213735321663413100284144294883324151920321822346377111013,1616845264629817716146774007105876360550553936716032403600,191
1575421281327720835983386175858710380327824520936720134204,3241482277671536141127951668188237526181273315899577768171,5586208029958848124921216573394506383575898134775961284434,191
4069739247116713887028753042182438369473317098575984776939,844145207776986783659492122386218733715797182415414290675,2520379570564901696717353689064388252983786955980960115822,192
58032914164101326507014679859026128188791968356121293565,579746505172877454135217955463867372376959153640988590241,3354199155066951947386938877220158572684074676754196835787,186
3387166416649757119844989120503616295189502886245782200719,4367281351940156218733250205900704571489325159963627480920,1085889361182410707977482521479401271443195392439535401964,192
5676902833266729714899454467115407499355719975469207134743,1579110196776147073683038388713268343274838462116493134552,4359992519863690181631471896624016814476751283873901033809,192
2577230621081742207059698838620554156753316550780521626129,2073975781133396535547302468150547161466961789679127554673,1848227522790806384754431698789707343722434003198089513155,191
4984482729309872224680815916860952961022992751171901908594,4089879209082434812355206612055149924203709098986326224943,99514996850785917286302836757813671741070464673979322227,192
2794512199879872782660874851840664791520653249116361163424,330718212861724142430532678216457731227804528164690253949,4244261161475021421931908648931976858643527737286117192242,191
4009740981591719305422443555834644709428419835722629867267,3163842539511036202317316308259488538648064630019741141118,748132175655679065062662030910413327917870853756249796035,192
3540405097749599795198420714536421954808270994021260374549,2044653020695095460046115623288386893466570584397002952948,4868144783688470584864588496593294408093778279483467916757,192
5301784915358401764113240671381608170105838025223274708558,1385725389138732106749550834637158831534510209833674720027,1932342170750182297727193503099036112544236653369117967095,192
1758725583443827116148255201235967484018537272494855058374,1854590754271296345573944263577119333650570562460484376789,724094409405832056256143161792179564480589549376401598336,191
